"","ID","step","angle","X","time","lon","lat","tagtype","schedule","sex","age","altitude","migstage","t","date","m.state","m.year","ID2","year","x","y","min.step","Ordinal","residency.length","unique.site","residency.time","ID.site","states1"
"1223","AL-2020-01-2020",0.02,NA,1223,"2020-02-05 09:00:00",-87.1747742,32.0837517,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","09:00","2020-02-05","AL",2020,"AL-2020-01","2020",-87.1747742,32.0837517,0,36,1,1,1,"AL-2020-01-1-36",1
"1224","AL-2020-01-2020",0.07,2.8561759612814,1224,"2020-02-07 15:00:00",-87.1746674,32.0838776,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","15:00","2020-02-07","AL",2020,"AL-2020-01","2020",-87.1746674,32.0838776,0,38,3,1,1,"AL-2020-01-1-38",1
"1225","AL-2020-01-2020",0.66,2.80275324777488,1225,"2020-02-09 09:00:00",-87.1752853,32.0834694,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","09:00","2020-02-09","AL",2020,"AL-2020-01","2020",-87.1752853,32.0834694,0,40,5,1,1,"AL-2020-01-1-40",1
"1226","AL-2020-01-2020",0.59,3.09786240771188,1226,"2020-02-11 22:00:00",-87.168602,32.0853615,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","22:00","2020-02-11","AL",2020,"AL-2020-01","2020",-87.168602,32.0853615,0,42,7,1,1,"AL-2020-01-1-42",1
"1227","AL-2020-01-2020",0.09,0.409476298692073,1227,"2020-02-13 15:00:00",-87.174614,32.0839043,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","15:00","2020-02-13","AL",2020,"AL-2020-01","2020",-87.174614,32.0839043,0,44,9,1,1,"AL-2020-01-1-44",1
"1228","AL-2020-01-2020",0.48,1.93143372858241,1228,"2020-02-15 09:00:00",-87.1753845,32.0833664,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","09:00","2020-02-15","AL",2020,"AL-2020-01","2020",-87.1753845,32.0833664,0,46,11,1,1,"AL-2020-01-1-46",1
"1229","AL-2020-01-2020",0.5,3.09715508775222,1229,"2020-02-17 22:00:00",-87.1710052,32.0812149,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","22:00","2020-02-17","AL",2020,"AL-2020-01","2020",-87.1710052,32.0812149,0,48,13,1,1,"AL-2020-01-1-48",1
"1230","AL-2020-01-2020",0.01,0.567787423802843,1230,"2020-02-19 15:00:00",-87.1754379,32.083622,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","15:00","2020-02-19","AL",2020,"AL-2020-01","2020",-87.1754379,32.083622,0,50,15,1,1,"AL-2020-01-1-50",1
"1231","AL-2020-01-2020",0.54,2.42418368650508,1231,"2020-02-21 09:00:00",-87.1755142,32.083622,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","09:00","2020-02-21","AL",2020,"AL-2020-01","2020",-87.1755142,32.083622,0,52,17,1,1,"AL-2020-01-1-52",1
"1232","AL-2020-01-2020",0.56,2.9471540283507,1232,"2020-02-23 22:00:00",-87.1712418,32.0804482,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","22:00","2020-02-23","AL",2020,"AL-2020-01","2020",-87.1712418,32.0804482,0,54,19,1,1,"AL-2020-01-1-54",1
"1233","AL-2020-01-2020",0.13,1.96805630873933,1233,"2020-02-25 15:00:00",-87.1748505,32.0844154,"4g","Hybrid","m","juv",NA,"Primary step state: Stationary","15:00","2020-02-25","AL",2020,"AL-2020-01","2020",-87.1748505,32.0844154,0,56,21,1,1,"AL-2020-01-1-56",1
"1234","AL-2020-01-2020",776.56,-3.1221352818533,1234,"2020-02-27 09:00:00",-87.1755142,32.083416,"4g","Hybrid","m","juv",NA,"Primary step state: Migratory (spring)","09:00","2020-02-27","AL",2020,"AL-2020-01","2020",-87.1755142,32.083416,1,58,1,2,1,"AL-2020-01-2-58",2
"1235","AL-2020-01-2020",0.4,-2.07580295006676,1235,"2020-03-03 15:00:00",-82.9712524,38.1738892,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","15:00","2020-03-03","AL",2020,"AL-2020-01","2020",-82.9712524,38.1738892,0,63,6,2,1,"AL-2020-01-2-63",3
"1236","AL-2020-01-2020",0.06,2.92792136546202,1236,"2020-03-04 09:00:00",-82.9687958,38.1708679,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","09:00","2020-03-04","AL",2020,"AL-2020-01","2020",-82.9687958,38.1708679,0,64,7,2,1,"AL-2020-01-2-64",3
"1237","AL-2020-01-2020",0.21,-0.483390287844064,1237,"2020-03-05 15:00:00",-82.9690247,38.1713524,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","15:00","2020-03-05","AL",2020,"AL-2020-01","2020",-82.9690247,38.1713524,0,65,8,2,1,"AL-2020-01-2-65",3
"1238","AL-2020-01-2020",0.22,1.35358353855893,1238,"2020-03-06 09:00:00",-82.9687195,38.1732483,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","09:00","2020-03-06","AL",2020,"AL-2020-01","2020",-82.9687195,38.1732483,0,66,9,2,1,"AL-2020-01-2-66",3
"1239","AL-2020-01-2020",0.08,-2.06465736799997,1239,"2020-03-07 15:00:00",-82.9710693,38.173912,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","15:00","2020-03-07","AL",2020,"AL-2020-01","2020",-82.9710693,38.173912,0,67,10,2,1,"AL-2020-01-2-67",3
"1240","AL-2020-01-2020",0.37,-2.32781792044915,1240,"2020-03-08 14:00:00",-82.9703827,38.1744003,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","15:00","2020-03-08","AL",2020,"AL-2020-01","2020",-82.9703827,38.1744003,0,68,11,2,1,"AL-2020-01-2-68",3
"1241","AL-2020-01-2020",0.19,1.3128472013986,1241,"2020-03-31 08:00:00",-82.9704819,38.1710968,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","09:00","2020-03-31","AL",2020,"AL-2020-01","2020",-82.9704819,38.1710968,0,91,34,2,1,"AL-2020-01-2-91",3
"1242","AL-2020-01-2020",0.01,0.546859943499177,1242,"2020-04-02 14:00:00",-82.9683609,38.1706123,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","15:00","2020-04-02","AL",2020,"AL-2020-01","2020",-82.9683609,38.1706123,0,93,36,2,1,"AL-2020-01-2-93",3
"1243","AL-2020-01-2020",NA,NA,1243,"2020-04-06 14:00:00",-82.9682541,38.1706352,"4g","Hybrid","m","juv",NA,"Primary step state: State unknown (spring migratory or post-mig stationary)","15:00","2020-04-06","AL",2020,"AL-2020-01","2020",-82.9682541,38.1706352,NA,97,40,2,1,"AL-2020-01-2-97",3
"1244","AL-2020-04-2020",0.51,NA,1244,"2020-02-04 09:00:00",-87.1527557,32.0798073,"4g","Night","m","ad",65,"Primary step state: Stationary","09:00","2020-02-04","AL",2020,"AL-2020-04","2020",-87.1527557,32.0798073,0,35,1,1,1,"AL-2020-04-1-35",1
"1245","AL-2020-04-2020",0.03,-2.56937800274092,1245,"2020-02-05 00:00:00",-87.1550064,32.0839539,"4g","Night","m","ad",56,"Primary step state: Stationary","00:00","2020-02-05","AL",2020,"AL-2020-04","2020",-87.1550064,32.0839539,0,36,2,1,1,"AL-2020-04-1-36",1
"1246","AL-2020-04-2020",0.55,3.0486380496561,1246,"2020-02-07 00:00:00",-87.1547241,32.0838013,"4g","Night","m","ad",53,"Primary step state: Stationary","00:00","2020-02-07","AL",2020,"AL-2020-04","2020",-87.1547241,32.0838013,0,38,4,1,1,"AL-2020-04-1-38",1
