"","ID","time","lon","lat","tagtype","schedule","sex","age","altitude","migstage","t","date","m.state","m.year"
"1","MD-2019-04",2019-02-11 22:00:00,-75.9256439,38.4227448,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","22:00","2019-02-11","MD","2019"
"2","MD-2019-04",2019-02-13 15:00:00,-75.9214172,38.4241791,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-13","MD","2019"
"3","MD-2019-04",2019-02-15 09:00:00,-75.9223404,38.4220047,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","09:00","2019-02-15","MD","2019"
"4","MD-2019-04",2019-02-16 15:00:00,-75.9211121,38.4240265,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-16","MD","2019"
"5","MD-2019-04",2019-02-17 09:00:00,-75.9211121,38.4242058,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","09:00","2019-02-17","MD","2019"
"6","MD-2019-04",2019-02-18 15:00:00,-75.9209366,38.4235153,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-18","MD","2019"
"7","MD-2019-04",2019-02-19 09:00:00,-75.9087524,38.4223862,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","09:00","2019-02-19","MD","2019"
"8","MD-2019-04",2019-02-20 15:00:00,-75.9210358,38.4240494,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-20","MD","2019"
"9","MD-2019-04",2019-02-21 09:00:00,-75.9084702,38.4224396,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","09:00","2019-02-21","MD","2019"
"10","MD-2019-04",2019-02-22 15:00:00,-75.9209824,38.4231033,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-22","MD","2019"
"11","MD-2019-04",2019-02-23 09:00:00,-75.9209061,38.4234619,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","09:00","2019-02-23","MD","2019"
"12","MD-2019-04",2019-02-24 15:00:00,-75.9209061,38.4233093,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-24","MD","2019"
"13","MD-2019-04",2019-02-25 09:00:00,-75.9208832,38.4231567,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","09:00","2019-02-25","MD","2019"
"14","MD-2019-04",2019-02-26 15:00:00,-75.9212952,38.4246674,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-26","MD","2019"
"15","MD-2019-04",2019-02-27 09:00:00,-75.9212418,38.4246407,"4g","Hybrid","m","ad",NA,"Primary step state: Migratory (spring)","09:00","2019-02-27","MD","2019"
"16","MD-2019-04",2019-03-01 09:00:00,-75.5921783,38.8913269,"4g","Hybrid","m","ad",NA,"Primary step state: Migratory (spring)","09:00","2019-03-01","MD","2019"
"17","MD-2019-04",2019-03-02 15:00:00,-75.5921249,38.8922234,"4g","Hybrid","m","ad",NA,"Primary step state: Migratory (spring)","15:00","2019-03-02","MD","2019"
"18","MD-2019-05",2019-02-11 22:00:00,-75.9250031,38.4236946,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","22:00","2019-02-11","MD","2019"
"19","MD-2019-05",2019-02-13 15:00:00,-75.9242401,38.4252815,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","15:00","2019-02-13","MD","2019"
"20","MD-2019-05",2019-02-15 09:00:00,-75.924263,38.4252815,"4g","Hybrid","m","ad",NA,"Primary step state: Stationary","09:00","2019-02-15","MD","2019"
