state_cd,route_cd,discontinued,DC_year,new_route_cd,replacement_route,replacement_year,original_route_cd,Flag,DC_reason
18,0001,NO,,,NO,,,,
18,0002,NO,,,NO,,,,
18,0003,NO,,,NO,,,,
18,0004,NO,,,NO,,,,
18,0005,NO,,,NO,,,,
18,0006,NO,,,NO,,,,
18,0007,NO,,,NO,,,,
18,0008,YES,2008,012,NO,,,,
18,0009,NO,,,NO,,,,
18,0010,NO,,,NO,,,,
18,0011,YES,,,NO,,,,
18,0012,NO,,,YES,2009,008,,
21,0010,YES,2002,018,NO,,,,
21,0014,NO,,,NO,,,,
21,0017,NO,,,NO,,,,
21,0018,YES,2017,019,YES,2003,010,,
21,0019,NO,,,YES,2017,018,,
34,0001,NO,,,NO,,,,
34,0002,NO,,,NO,,,,
34,0003,NO,,,NO,,,,
34,0004,NO,,,NO,,,,
34,0005,YES,2016,114,NO,,,,
34,0006,NO,,,NO,,,,
34,0007,NO,,,NO,,,,
34,0008,NO,,,NO,,,,
34,0009,NO,,,NO,,,,
34,0010,NO,,,NO,,,,
34,0011,YES,2011,109,NO,,,,
34,0012,NO,,,NO,,,,
34,0013,YES,1989,102,NO,,,,
34,0014,NO,,,NO,,,,
34,0015,YES,,105,NO,,,,
34,0016,NO,,,NO,,,,
34,0017,NO,,,NO,,,,
34,0018,NO,,,NO,,,,
34,0019,NO,,,NO,,,,
34,0020,NO,,,NO,,,,
34,0021,YES,1989,103,NO,,,,
34,0022,NO,,,NO,,,,
34,0023,NO,,,NO,,,,
34,0024,NO,,,NO,,,,
34,0025,NO,,,NO,,,,
34,0026,NO,,,NO,,,,
34,0027,NO,,,NO,,,,
34,0028,NO,,,NO,,,,
34,0029,YES,1989,104,NO,,,,
34,0030,NO,,,NO,,,,
34,0031,NO,,,NO,,,,
34,0032,NO,,,NO,,,,
34,0033,NO,,,NO,,,,
34,0034,YES,2011,108,NO,,,,
34,0035,NO,,,NO,,,,
34,0036,NO,,,NO,,,,
34,0037,NO,,,NO,,,,
34,0038,NO,,,NO,,,,
34,0039,NO,,,NO,,,,
34,0040,NO,,,NO,,,,
34,0041,NO,,,NO,,,,
34,0042,NO,,,NO,,,,
34,0043,NO,,,NO,,,,
34,0044,NO,,,NO,,,,
34,0045,NO,,,NO,,,,
34,0046,NO,,,NO,,,,
34,0047,YES,2012,111,NO,,,,
34,0048,NO,,,NO,,,,
34,0049,NO,,,NO,,,,
34,0050,NO,,,NO,,,,
34,0051,NO,,,NO,,,,
34,0052,NO,,,NO,,,,
34,0053,NO,,,NO,,,,
34,0054,YES,2003,112,NO,,,,
34,0055,NO,,,NO,,,,
34,0056,NO,,,NO,,,,
34,0057,NO,,,NO,,,,
34,0058,NO,,,NO,,,,
34,0059,NO,,,NO,,,,
34,0060,NO,,,NO,,,,
34,0061,NO,,,NO,,,,
34,0062,NO,,,NO,,,,
34,0063,NO,,,NO,,,,
34,0064,NO,,,NO,,,,
34,0065,NO,,,NO,,,,
34,0066,NO,,,NO,,,,
