state_cd,route_cd,SurveyZone
18,001,3
18,002,3
18,003,3
18,004,3
18,005,3
18,006,3
18,007,3
18,009,3
18,010,3
18,012,3
21,014,1
21,017,1
21,019,2
34,001,2
34,002,2
34,004,2
34,006,2
34,007,2
34,008,2
34,009,2
34,010,2
34,012,2
34,014,2
34,015,2
34,016,2
34,017,2
34,018,2
34,019,2
34,020,2
34,022,2
34,023,2
34,024,2
34,025,2
34,026,2
34,027,2
34,028,2
34,030,2
34,031,2
34,032,2
34,033,2
34,035,2
34,036,2
34,037,2
34,038,2
34,039,2
34,040,2
34,041,2
34,042,2
34,043,2
34,044,2
34,045,2
34,046,2
34,048,2
34,049,2
34,050,2
34,051,2
34,052,2
34,053,2
34,055,2
34,056,2
34,057,2
34,058,2
34,059,2
34,060,2
34,061,2
34,062,2
34,063,2
34,064,2
34,065,2
34,066,2
34,068,2
34,069,2
34,070,2
34,072,2
34,073,2
34,074,2
34,075,1
34,076,1
34,077,1
34,079,1
34,080,1
34,081,1
34,082,1
34,083,1
34,084,1
34,085,1
34,086,1
34,087,1
34,088,1
34,089,1
34,090,1
34,091,1
34,092,1
34,093,1
34,094,1
34,095,1
34,096,1
34,097,1
34,098,1
34,099,1
34,100,1
34,101,2
34,102,2
34,103,2
34,106,2
34,107,2
34,108,2
34,110,2
34,111,2
34,113,2
34,114,2
34,115,1
35,001,2
35,003,2
35,005,2
35,007,2
35,010,2
35,011,2
35,012,2
35,013,2
35,014,2
35,016,2
35,017,2
35,018,2
35,019,2
35,020,2
35,022,2
35,023,2
35,026,2
35,027,2
35,028,2
35,029,2
35,034,2
35,035,2
35,036,2
35,037,2
35,038,2
35,040,2
35,041,2
35,042,2
35,043,2
35,044,2
35,045,2
35,046,2
35,047,2
35,048,2
35,049,2
35,051,2
35,053,2
35,054,1
35,055,1
35,056,1
35,057,1
35,058,1
35,060,1
35,061,1
35,062,1
35,063,1
35,065,1
35,072,1
35,073,2
35,074,2
35,076,2
35,077,2
35,078,1
35,079,1
35,080,1
35,081,1
35,082,2
35,083,2
35,084,2
35,085,1
35,086,2
35,087,2
35,088,1
35,089,1
35,090,2
44,003,5
44,007,5
44,008,5
44,010,5
44,011,5
44,012,5
44,013,5
44,015,5
44,019,5
44,024,5
44,025,5
44,026,5
44,027,5
44,029,5
44,030,5
44,031,5
44,032,5
44,033,5
44,034,5
44,035,5
44,036,5
44,038,5
44,039,5
44,040,5
44,041,5
44,042,5
44,043,5
44,046,4
44,047,4
44,048,4
44,050,4
44,051,4
44,052,4
44,054,4
44,056,4
44,059,4
44,060,4
44,061,4
44,062,4
44,063,4
44,064,4
44,065,4
44,066,4
44,067,4
44,068,4
44,069,4
44,070,4
44,071,4
44,072,4
44,073,4
44,074,4
44,075,4
44,076,4
44,077,5
44,078,5
44,080,4
44,083,5
44,084,4
44,085,4
44,086,4
44,087,4
44,088,5
44,089,4
45,001,5
45,002,5
45,003,5
